"","species","plot","endo_01","id","original","endo_status_from_check","birth","year_t","age","size_t","flw_count_t","mean_spike_t","year_t1","surv_t1","size_t1","flw_count_t1","mean_spike_t1","dist_a","dist_b"
"11616","POAL",3,1,"3_170.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11617","POAL",3,1,"3_171",0,1,2010,2010,0,4,0,NA,2011,1,1,0,NA,NA,NA
"11618","POAL",3,1,"3_171",0,1,2010,2011,1,1,0,NA,2012,1,4,3,31,NA,NA
"11619","POAL",3,1,"3_171",0,1,2010,2012,2,4,3,31,2013,1,1,0,NA,NA,NA
"11620","POAL",3,1,"3_171",0,1,2010,2013,3,1,0,NA,2014,1,1,0,NA,NA,NA
"11621","POAL",3,1,"3_171",0,1,2010,2014,4,1,0,NA,2015,0,NA,NA,NA,NA,NA
"11622","POAL",3,1,"3_171.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11623","POAL",3,1,"3_172",0,NA,2010,2010,0,1,0,NA,2011,1,1,0,NA,NA,NA
"11624","POAL",3,1,"3_172",0,NA,2010,2011,1,1,0,NA,2012,0,NA,NA,NA,NA,NA
"11625","POAL",3,1,"3_172.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11626","POAL",3,1,"3_173",0,NA,2010,2010,0,8,0,NA,2011,0,NA,NA,NA,NA,NA
"11627","POAL",3,1,"3_173.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11628","POAL",3,1,"3_174",0,NA,2010,2010,0,1,0,NA,2011,1,3,0,NA,NA,NA
"11629","POAL",3,1,"3_174",0,NA,2010,2011,1,3,0,NA,2012,1,10,0,NA,NA,NA
"11630","POAL",3,1,"3_174",0,NA,2010,2012,2,10,0,NA,2013,1,5,0,NA,NA,NA
"11631","POAL",3,1,"3_174",0,NA,2010,2013,3,5,0,NA,2014,0,NA,NA,NA,NA,NA
"11632","POAL",3,1,"3_174.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11633","POAL",3,1,"3_175",0,NA,2010,2010,0,1,0,NA,2011,1,1,0,NA,NA,NA
"11634","POAL",3,1,"3_175",0,NA,2010,2011,1,1,0,NA,2012,1,9,5,86,NA,NA
"11635","POAL",3,1,"3_175",0,NA,2010,2012,2,9,5,86,2013,1,5,0,NA,NA,NA
"11636","POAL",3,1,"3_175",0,NA,2010,2013,3,5,0,NA,2014,1,2,0,NA,NA,NA
"11637","POAL",3,1,"3_175",0,NA,2010,2014,4,2,0,NA,2015,0,NA,NA,NA,NA,NA
"11638","POAL",3,1,"3_175.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11639","POAL",3,1,"3_176",0,NA,2010,2010,0,3,0,NA,2011,0,NA,NA,NA,NA,NA
"11640","POAL",3,1,"3_176.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11641","POAL",3,1,"3_177",0,1,2010,2010,0,3,0,NA,2011,1,7,0,NA,NA,NA
"11642","POAL",3,1,"3_177",0,1,2010,2011,1,7,0,NA,2012,1,9,0,NA,NA,NA
"11643","POAL",3,1,"3_177",0,1,2010,2012,2,9,0,NA,2013,0,NA,NA,NA,NA,NA
"11644","POAL",3,1,"3_177.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11645","POAL",3,1,"3_178",0,NA,2010,2010,0,1,0,NA,2011,0,NA,NA,NA,NA,NA
"11646","POAL",3,1,"3_178.5",0,NA,2009,2009,0,1,0,NA,2010,1,4,0,NA,NA,NA
"11647","POAL",3,1,"3_178.5",0,NA,2009,2010,1,4,0,NA,2011,0,NA,NA,NA,NA,NA
"11648","POAL",3,1,"3_179",0,NA,2010,2010,0,1,0,NA,2011,0,NA,NA,NA,NA,NA
"11649","POAL",3,1,"3_179.5",0,NA,2009,2009,0,1,0,NA,2010,1,4,0,NA,NA,NA
"11650","POAL",3,1,"3_179.5",0,NA,2009,2010,1,4,0,NA,2011,0,NA,NA,NA,NA,NA
"11651","POAL",3,1,"3_18",0,NA,2009,2009,0,1,0,NA,2010,1,10,0,NA,NA,NA
"11652","POAL",3,1,"3_18",0,NA,2009,2010,1,10,0,NA,2011,0,NA,NA,NA,NA,NA
"11653","POAL",3,1,"3_18.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11654","POAL",3,1,"3_180",0,NA,2010,2010,0,1,0,NA,2011,0,NA,NA,NA,NA,NA
"11655","POAL",3,1,"3_180.5",0,NA,2009,2009,0,1,0,NA,2010,1,4,0,NA,NA,NA
"11656","POAL",3,1,"3_180.5",0,NA,2009,2010,1,4,0,NA,2011,0,NA,NA,NA,NA,NA
"11657","POAL",3,1,"3_181",0,NA,2010,2010,0,1,0,NA,2011,0,NA,NA,NA,NA,NA
"11658","POAL",3,1,"3_181.5",0,NA,2009,2009,0,1,0,NA,2010,1,5,0,NA,NA,NA
"11659","POAL",3,1,"3_181.5",0,NA,2009,2010,1,5,0,NA,2011,1,3,0,NA,NA,NA
"11660","POAL",3,1,"3_181.5",0,NA,2009,2011,2,3,0,NA,2012,0,NA,NA,NA,NA,NA
"11661","POAL",3,1,"3_182",0,NA,2010,2010,0,1,0,NA,2011,1,2,0,NA,NA,NA
"11662","POAL",3,1,"3_182",0,NA,2010,2011,1,2,0,NA,2012,0,NA,NA,89,NA,NA
"11663","POAL",3,1,"3_182.5",0,NA,2009,2009,0,1,0,NA,2010,1,5,0,NA,NA,NA
"11664","POAL",3,1,"3_182.5",0,NA,2009,2010,1,5,0,NA,2011,1,3,0,NA,NA,NA
"11665","POAL",3,1,"3_182.5",0,NA,2009,2011,2,3,0,NA,2012,0,NA,NA,NA,NA,NA
"11666","POAL",3,1,"3_183",0,NA,2010,2010,0,1,0,NA,2011,1,5,0,NA,NA,NA
"11667","POAL",3,1,"3_183",0,NA,2010,2011,1,5,0,NA,2012,1,5,1,72,NA,NA
